Customer Status,Tenure in Months,Contract,Monthly Charge,Avg Monthly GB Download,Avg Monthly Long Distance Charges,Internet Type
Churned,27,Month-to-Month,75.5,23,10.6,Fiber Optic
Churned,1,Month-to-Month,100.8,23,17.35,Fiber Optic
Churned,39,Month-to-Month,95.65,23,41.93,Fiber Optic
Churned,13,Month-to-Month,100.8,28,7.22,Fiber Optic
Churned,1,Month-to-Month,25.05,21,0.0,DSL
Churned,24,Month-to-Month,78.85,22,2.05,Fiber Optic
Churned,48,Month-to-Month,45.3,58,0.0,Cable
Churned,8,Month-to-Month,83.55,25,32.32,Cable
Churned,2,Month-to-Month,34.7,76,0.0,DSL
Churned,1,Month-to-Month,59.2,24,13.58,DSL
Churned,9,Month-to-Month,72.9,11,35.49,Cable
Churned,4,Month-to-Month,80.35,13,32.43,Fiber Optic
Churned,2,Month-to-Month,79.7,26,28.86,Fiber Optic
Churned,1,Month-to-Month,69.4,12,33.46,Fiber Optic
Churned,11,Month-to-Month,23.15,0,30.91,None
Churned,40,Month-to-Month,55.25,76,8.08,DSL
Churned,3,Month-to-Month,74.75,13,35.18,Fiber Optic
Churned,13,Month-to-Month,96.65,41,17.02,Fiber Optic
Churned,1,Month-to-Month,48.95,52,34.4,Cable
Churned,1,Month-to-Month,50.35,20,0.0,DSL
Churned,1,Month-to-Month,85.7,21,45.81,Fiber Optic
Churned,34,Month-to-Month,79.6,15,25.84,Fiber Optic
Churned,71,Month-to-Month,105.1,8,44.66,Fiber Optic
Churned,5,Month-to-Month,69.7,58,12.6,Fiber Optic
Churned,8,Month-to-Month,71.15,18,48.14,DSL
Churned,5,Month-to-Month,96.1,11,31.09,Fiber Optic
Churned,3,Month-to-Month,70.3,11,26.71,Fiber Optic
Churned,11,Month-to-Month,90.15,3,22.36,Cable
Churned,3,Month-to-Month,54.7,17,2.88,DSL
Churned,9,Month-to-Month,44.95,26,2.88,DSL
Churned,24,Month-to-Month,101.05,23,34.62,Fiber Optic
Churned,57,Month-to-Month,39.3,59,0.0,DSL
Churned,17,Month-to-Month,94.4,12,25.79,Cable
Churned,17,Month-to-Month,94.4,23,21.82,Fiber Optic
Churned,1,Month-to-Month,75.3,3,26.06,Fiber Optic
Churned,13,Month-to-Month,102.25,28,30.55,Fiber Optic
Churned,2,Month-to-Month,95.85,18,37.43,Fiber Optic
Churned,1,Month-to-Month,44.65,19,0.0,Cable
Churned,64,Two Year,47.85,27,0.0,DSL
Churned,1,Month-to-Month,25.2,5,0.0,Cable
Churned,3,Month-to-Month,76.05,28,30.25,Fiber Optic
Churned,1,Month-to-Month,78.45,13,18.37,Fiber Optic
Churned,2,Month-to-Month,70.2,28,9.55,Fiber Optic
Churned,1,Month-to-Month,94.0,29,21.85,Fiber Optic
Churned,48,Month-to-Month,117.45,5,43.04,Fiber Optic
Churned,1,Month-to-Month,46.0,19,7.74,DSL
Churned,12,Month-to-Month,61.65,30,36.24,DSL
Churned,4,Month-to-Month,78.45,58,42.06,Fiber Optic
Churned,3,Month-to-Month,85.3,21,14.28,Fiber Optic
Churned,21,Month-to-Month,104.4,59,38.52,Fiber Optic
Churned,10,Month-to-Month,45.55,69,34.44,Cable
Churned,40,One Year,42.35,21,0.0,DSL
Churned,10,Month-to-Month,70.0,27,27.28,Fiber Optic
Churned,17,Month-to-Month,70.4,11,13.68,Fiber Optic
Churned,8,Month-to-Month,80.1,7,36.39,Fiber Optic
Churned,24,Month-to-Month,90.35,23,32.49,Fiber Optic
Churned,31,Month-to-Month,79.85,12,16.63,Fiber Optic
Churned,39,Month-to-Month,55.9,13,0.0,DSL
Churned,11,Month-to-Month,94.0,18,25.67,Fiber Optic
Churned,1,Month-to-Month,19.9,0,45.77,None
Churned,31,One Year,79.45,3,6.71,DSL
Churned,1,Month-to-Month,69.65,69,28.7,Fiber Optic
Churned,2,Month-to-Month,85.85,28,14.14,Fiber Optic
Churned,12,Month-to-Month,50.25,26,46.58,DSL
Churned,3,Month-to-Month,88.3,2,25.77,Fiber Optic
Churned,12,Month-to-Month,101.35,4,48.5,Fiber Optic
Churned,3,Month-to-Month,83.9,11,7.38,Fiber Optic
Churned,1,Month-to-Month,69.85,30,43.45,Fiber Optic
Churned,19,Month-to-Month,95.9,4,32.77,Fiber Optic
Churned,52,Month-to-Month,104.2,23,37.6,Fiber Optic
Churned,2,Month-to-Month,69.75,24,26.44,Fiber Optic
Churned,10,Month-to-Month,79.95,4,11.3,Fiber Optic
Churned,16,Month-to-Month,100.0,26,37.83,Cable
Churned,35,Month-to-Month,86.45,17,19.07,Fiber Optic
Churned,10,Month-to-Month,98.7,28,37.36,Fiber Optic
Churned,23,Month-to-Month,79.15,11,33.44,Fiber Optic
Churned,22,Month-to-Month,79.35,17,19.19,Fiber Optic
Churned,53,Month-to-Month,93.9,73,31.24,Fiber Optic
Churned,22,Month-to-Month,85.1,17,16.2,Fiber Optic
Churned,1,Month-to-Month,89.15,18,32.35,Fiber Optic
Churned,25,Month-to-Month,95.9,4,5.27,Fiber Optic
Churned,4,Month-to-Month,79.15,23,36.91,Fiber Optic
Churned,43,Month-to-Month,75.2,11,34.0,Fiber Optic
Churned,15,Month-to-Month,59.45,48,36.34,DSL
Churned,31,Month-to-Month,65.25,52,31.14,Cable
Churned,7,Month-to-Month,74.9,25,46.79,Fiber Optic
Churned,65,One Year,72.45,51,26.75,Cable
Churned,31,Month-to-Month,104.2,13,3.73,Fiber Optic
Churned,3,Month-to-Month,49.15,29,40.79,DSL
Churned,68,Month-to-Month,89.6,24,24.13,Fiber Optic
Churned,19,Month-to-Month,88.2,9,39.97,Fiber Optic
Churned,1,Month-to-Month,69.75,5,33.84,Fiber Optic
Churned,9,Month-to-Month,74.55,27,17.56,Fiber Optic
Churned,30,Month-to-Month,99.7,8,43.61,Fiber Optic
Churned,65,One Year,106.25,30,18.69,Fiber Optic
Churned,10,Month-to-Month,84.7,18,45.69,Fiber Optic
Churned,6,Month-to-Month,109.9,10,20.36,Fiber Optic
Churned,7,Month-to-Month,79.3,16,19.21,Fiber Optic
Churned,64,One Year,100.05,18,28.13,Fiber Optic
Churned,1,Month-to-Month,45.3,59,39.94,Cable
Churned,48,One Year,60.35,13,33.91,DSL
Churned,8,Month-to-Month,87.05,8,45.59,Fiber Optic
Churned,11,Month-to-Month,19.25,0,29.01,None
Churned,55,Two Year,57.55,48,8.8,DSL
Churned,10,Month-to-Month,99.85,12,43.28,Fiber Optic
Churned,36,Month-to-Month,84.9,22,24.66,Fiber Optic
Churned,10,Month-to-Month,74.75,26,5.63,Fiber Optic
Churned,32,Month-to-Month,108.15,73,27.69,Fiber Optic
Churned,49,Month-to-Month,95.6,9,49.63,Fiber Optic
Churned,1,Month-to-Month,45.3,18,0.0,DSL
